10Y,7Y,5Y,3Y,2Y,1Y
4.3,3.79,3.29,2.45,1.92,1.33
4.22,3.7,3.19,2.36,1.84,1.31
4.18,3.68,3.14,2.31,1.8,1.29
4.17,3.66,3.14,2.32,1.83,1.3
4.24,3.75,3.22,2.42,1.9,1.32
4.16,3.67,3.14,2.35,1.83,1.28
4.15,3.67,3.15,2.35,1.84,1.29
4.23,3.76,3.24,2.44,1.94,1.33
4.19,3.72,3.2,2.4,1.89,1.32
4.25,3.79,3.27,2.48,1.97,1.35
NA,NA,NA,NA,NA,NA
4.34,3.89,3.38,2.56,2.06,1.39
4.4,3.98,3.46,2.64,2.12,1.41
4.38,3.95,3.43,2.6,2.07,1.38
4.41,3.98,3.46,2.63,2.09,1.39
4.38,3.93,3.42,2.61,2.06,1.38
4.23,3.76,3.23,2.42,1.88,1.3
4.29,3.81,3.28,2.48,1.94,1.33
4.32,3.85,3.33,2.51,1.97,1.35
4.3,3.82,3.28,2.48,1.94,1.33
4.27,3.76,3.21,2.37,1.83,1.27
4.26,3.75,3.23,2.4,1.84,1.28
4.28,3.79,3.26,2.41,1.88,1.3
4.24,3.74,3.21,2.37,1.83,1.28
4.19,3.7,3.18,2.37,1.83,1.26
4.16,3.67,3.17,2.38,1.85,1.24
4.15,3.67,3.16,2.35,1.82,1.25
4.18,3.7,3.19,2.37,1.84,1.27
4.28,3.81,3.3,2.47,1.96,1.31
4.2,3.72,3.2,2.36,1.83,1.28
NA,NA,NA,NA,NA,NA
4.17,3.67,3.17,2.33,1.82,1.27
4.24,3.76,3.23,2.37,1.86,1.31
4.29,3.8,3.26,2.39,1.86,1.28
4.27,3.77,3.25,2.37,1.84,1.26
NA,NA,NA,NA,NA,NA
4.38,3.9,3.36,2.47,1.94,1.31
4.41,3.92,3.39,2.51,1.95,1.35
4.29,3.8,3.26,2.38,1.84,1.3
4.27,3.76,3.25,2.36,1.84,1.29
4.27,3.76,3.24,2.37,1.85,1.29
4.11,3.58,3.05,2.17,1.68,1.21
4.11,3.58,3.04,2.18,1.68,1.21
4.05,3.51,2.98,2.12,1.63,1.18
4.01,3.49,2.96,2.13,1.65,1.19
3.99,3.48,2.97,2.16,1.67,1.18
4.04,3.54,3.03,2.19,1.7,1.21
NA,NA,NA,NA,NA,NA
4.08,3.58,3.05,2.21,1.69,1.21
4.05,3.55,3.02,2.2,1.69,1.19
